X,HEIGHT_C,HEIGHT_R,llv2000,llv2009,llv1990
15.27,,21.0,3.940503,4.1196537,2.4849067
15.34,,29.0,4.269658,4.116312,2.9957323
15.41,,29.0,4.3019404,4.129647,3.0349529
15.46,,17.0,4.3019404,4.129647,3.0349529
15.47,,30.0,4.3019404,4.129647,3.0349529
15.54,,20.0,4.513217,3.473689,3.1780539
15.6,,19.0,4.513217,3.473689,3.1780539
15.78,,25.0,4.4281006,3.403513,3.0910425
15.87,,16.0,4.4200244,3.3945,3.0910425
16.15,,39.0,4.395806,4.1780925,3.1780539
16.2,,21.0,4.3870015,4.1698103,3.1780539
16.25,,45.0,4.3870015,4.1698103,3.1780539
16.34,,15.0,4.377306,4.162219,3.1780539
16.37,,43.0,4.377306,4.162219,3.1780539
16.49,,29.0,4.455643,3.4124987,3.1780539
16.53,,15.0,3.6805763,3.938528,2.261763
16.57,,24.0,4.455643,3.4124987,3.1780539
16.6,,51.0,,,
16.62,,29.0,4.0781884,3.1324053,2.7725887
16.63,,29.0,4.0781884,3.1324053,2.7725887
16.81,,17.0,3.6683426,3.933375,2.261763
16.96,,24.0,3.9746993,3.8581467,2.7725887
17.04,,21.0,4.472494,4.2264614,3.3322046
17.42,,17.0,3.9286802,3.8765516,2.7725887
18.8,,16.0,2.825525,3.2201385,1.704748
18.86,,16.0,2.7832842,3.1810606,1.658228
